Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2040,Emergency Medical Technicians and Paramedics,2520,3160,640,25.4,530,1320,2490,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2051,Dietetic Technicians,300,350,50,16.7,90,140,280,18.25,37969.00,Associate's degree,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2052,Pharmacy Technicians,3770,4840,1070,28.4,1180,1850,4100,22.98,47790.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2053,Psychiatric Technicians,920,1020,100,10.9,260,420,780,27.28,56731.00,Postsecondary non-degree award,Less than 5 years,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2055,Surgical Technologists,880,1020,140,15.9,260,410,810,29.36,61072.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2056,Veterinary Technologists and Technicians,690,1020,330,47.8,230,370,930,18.67,38829.00,Associate's degree,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2057,Ophthalmic Medical Technicians,520,620,100,19.2,160,240,500,18.27,38011.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2061,Licensed Practical and Licensed Vocational Nurses,8080,9610,1530,18.9,2980,3690,8200,29.58,61517.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2081,"Opticians, Dispensing",1040,1240,200,19.2,470,390,1060,22.98,47801.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2091,Orthotists and Prosthetists,100,130,30,30.0,30,50,110,47.22,98212.00,Master's degree,None,Internship/residency
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2092,Hearing Aid Specialists,100,130,30,30.0,30,50,110,30.58,63610.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",4280,4990,710,16.6,1270,1990,3970,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,29-9000,Other Healthcare Practitioners and Technical Occupations,950,1110,160,16.8,280,440,880,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-9091,Athletic Trainers,160,210,50,31.3,50,80,180,0.00,62854.00,Bachelor's degree,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, & Healthcare Practitioners, AO",780,900,120,15.4,230,360,710,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,2,31-0000,Healthcare Support Occupations,115100,139850,24750,21.5,76840,76680,178270,15.18,31577.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",92130,110250,18120,19.7,64780,57290,140190,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-1120,Home Health and Personal Care Aides,83450,100010,16560,19.8,58720,51940,127220,15.18,31577.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-1131,Nursing Assistants,7750,9150,1400,18.1,5410,4780,11590,18.46,38410.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-1132,Orderlies,670,790,120,17.9,470,410,1000,23.60,49081.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-1133,Psychiatric Aides,260,300,40,15.4,180,160,380,24.07,50062.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,1410,1980,570,40.4,750,1270,2590,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-2011,Occupational Therapy Assistants,250,360,110,44.0,150,230,490,37.51,78035.00,Associate's degree,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-2021,Physical Therapist Assistants,620,900,280,45.2,320,570,1170,38.19,79432.00,Associate's degree,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-2022,Physical Therapist Aides,520,690,170,32.7,260,460,890,15.17,31555.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,31-9000,Other Healthcare Support Occupations,21560,27620,6060,28.1,11310,18120,35490,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-9011,Massage Therapists,1130,1760,630,55.8,850,760,2240,23.56,49007.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-9091,Dental Assistants,4210,5540,1330,31.6,2220,3420,6970,19.10,39721.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-9092,Medical Assistants,9380,11790,2410,25.7,4340,7910,14660,19.05,39625.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-9093,Medical Equipment Preparers,860,1040,180,20.9,530,630,1340,19.69,40958.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-9095,Pharmacy Aides,900,1020,120,13.3,500,740,1360,22.58,46970.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,930,1380,450,48.4,570,1270,2290,18.01,37451.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-9097,Phlebotomists,1480,2000,520,35.1,750,1270,2540,23.50,48879.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,31-9099,"Healthcare Support Workers, All Other",1650,1880,230,13.9,980,1170,2380,23.69,49273.00,High school diploma or equivalent,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,2,33-0000,Protective Service Occupations,40720,48010,7290,17.9,24940,31420,63650,23.66,49209.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,33-1000,Supervisors of Protective Service Workers,2420,2770,350,14.5,830,1320,2500,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-1011,First-Line Supervisors of Correctional Officers,540,550,10,1.9,180,250,440,54.58,113535.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-1012,First-Line Supervisors of Police and Detectives,420,450,30,7.1,100,180,310,79.46,165281.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,310,340,30,9.7,80,130,240,52.60,109399.00,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",1160,1440,280,24.1,480,760,1520,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,33-2000,Fire Fighting and Prevention Workers,2890,3120,230,8.0,700,1550,2480,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-2011,Firefighters,2770,2990,220,7.9,640,1490,2350,32.70,67993.00,Postsecondary non-degree award,None,Long-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,33-3000,Law Enforcement Workers,10500,10950,450,4.3,3200,5520,9170,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-3012,Correctional Officers and Jailers,3990,3960,-30,-0.8,1500,2150,3620,41.97,87299.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-3021,Detectives and Criminal Investigators,1180,1240,60,5.1,310,560,930,54.42,113194.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-3051,Police and Sheriff's Patrol Officers,5240,5680,440,8.4,1370,2770,4580,50.71,105486.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,33-9000,Other Protective Service Workers,24910,31160,6250,25.1,20210,23030,49490,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-9011,Animal Control Workers,130,140,10,7.7,40,70,120,24.34,50616.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-9021,Private Detectives and Investigators,230,290,60,26.1,70,150,280,30.23,62876.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-9031,Gaming Surveillance Officers and Gaming Investigators,370,490,120,32.4,230,330,680,15.60,32440.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-9032,Security Guards,17030,21630,4600,27.0,10240,14970,29810,17.64,36694.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-9091,Crossing Guards,750,840,90,12.0,1160,410,1660,15.96,33197.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",780,990,210,26.9,1220,990,2420,15.43,32078.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-9093,Transportation Security Screeners,1110,1400,290,26.1,450,630,1370,26.30,54710.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,33-9098,"School Bus Monitors and Protective Service Workers, All Other",4510,5380,870,19.3,6800,5480,13150,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,2,35-0000,Food Preparation and Serving Related Occupations,124220,171380,47160,38.0,111140,146230,304530,15.43,32088.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,35-1000,Supervisors of Food Preparation and Serving Workers,11780,16900,5120,43.5,5990,14510,25620,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-1011,Chefs and Head Cooks,2200,3320,1120,50.9,820,2710,4650,23.90,49721.00,High school diploma or equivalent,5 years or more,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,9580,13590,4010,41.9,5170,11810,20990,18.89,39295.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,35-2000,Cooks and Food Preparation Workers,40010,54550,14540,36.3,29400,40980,84920,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-2011,"Cooks, Fast Food",16580,19160,2580,15.6,10520,15290,28390,15.42,32067.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-2012,"Cooks, Institution and Cafeteria",1690,1990,300,17.8,1080,1570,2950,19.48,40510.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-2013,"Cooks, Private Household",180,170,-10,-5.6,100,150,240,0.00,0.00,Postsecondary non-degree award,Less than 5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-2014,"Cooks, Restaurant",12160,21210,9050,74.4,9820,14280,33150,15.79,32835.00,No formal educational credential,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-2015,"Cooks, Short Order",2170,2740,570,26.3,1440,2100,4110,15.77,32781.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-2019,"Cooks, All Other",210,330,120,57.1,160,230,510,16.14,33570.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-2021,Food Preparation Workers,7030,8960,1930,27.5,6280,7350,15560,15.65,32557.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,35-3000,Food and Beverage Serving Workers,57620,78280,20660,35.9,59400,74160,154220,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-3011,Bartenders,3370,5290,1920,57.0,1960,5240,9120,15.16,31534.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-3023,Fast Food and Counter Workers,38720,51330,12610,32.6,43660,47600,103870,15.21,31651.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-3031,Waiters and Waitresses,13620,19240,5620,41.3,12060,19620,37300,15.23,31683.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-3041,"Food Servers, Nonrestaurant",1920,2410,490,25.5,1710,1690,3890,15.65,32547.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,35-9000,Other Food Preparation and Serving Related Workers,14810,21650,6840,46.2,16350,16590,39780,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,5510,8260,2750,49.9,5940,5960,14650,15.26,31726.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-9021,Dishwashers,4240,5960,1720,40.6,3840,4260,9820,15.17,31555.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2990,4380,1390,46.5,4360,4150,9900,15.23,31694.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,35-9099,"Food Preparation and Serving Related Workers, All Other",2060,3060,1000,48.5,2210,2220,5430,15.94,33154.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,2,37-0000,Building and Grounds Cleaning and Maintenance Occupations,53600,64070,10470,19.5,31800,44160,86430,18.30,38080.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,4330,5100,770,17.8,1670,3330,5770,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,1630,1960,330,20.2,770,1240,2340,23.58,49049.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",2700,3140,440,16.3,910,2090,3440,30.12,62641.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,37-2000,Building Cleaning and Pest Control Workers,31880,37980,6100,19.1,21870,24370,52340,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",20160,24050,3890,19.3,13800,15490,33180,16.79,34924.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,37-2012,Maids and Housekeeping Cleaners,9850,11650,1800,18.3,7300,6920,16020,15.33,31886.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,37-2019,"Building Cleaning Workers, All Other",540,670,130,24.1,380,420,930,18.37,38197.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,37-2021,Pest Control Workers,1330,1610,280,21.1,390,1540,2210,18.99,39497.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,37-3000,Grounds Maintenance Workers,17400,20990,3590,20.6,8260,16460,28310,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,37-3011,Landscaping and Groundskeeping Workers,15040,18170,3130,20.8,7140,14230,24500,18.42,38314.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",150,180,30,20.0,70,140,240,19.83,41246.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,37-3013,Tree Trimmers and Pruners,1350,1590,240,17.8,630,1260,2130,24.90,51800.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,2,39-0000,Personal Care and Service Occupations,29770,42140,12370,41.6,21910,28110,62390,15.30,31811.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,39-1000,Supervisors of Personal Care and Service Workers,1940,2810,870,44.8,870,1650,3390,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-1013,First-Line Supervisors of Gambling Services Workers,640,860,220,34.4,270,520,1010,30.16,62737.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-1098,"First-Line Supervisors of Personal Service & Entertainment and Recreation Workers, Exc Gambling Services",1300,1950,650,50.0,590,1130,2370,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,39-2000,Animal Care and Service Workers,2880,4230,1350,46.9,2220,2910,6480,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-2011,Animal Trainers,320,430,110,34.4,180,270,560,18.37,38207.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-2021,Nonfarm Animal Caretakers,2560,3800,1240,48.4,2040,2640,5920,15.13,31470.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,39-3000,Entertainment Attendants and Related Workers,5250,8030,2780,53.0,5500,6760,15040,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-3011,Gaming Dealers,2030,2760,730,36.0,1300,2160,4190,15.00,31200.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-3019,"Gaming Service Workers, All Other",270,360,90,33.3,170,280,540,15.12,31449.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",490,960,470,95.9,920,740,2130,15.00,31200.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-3091,Amusement and Recreation Attendants,2170,3550,1380,63.6,2790,3210,7380,15.00,31200.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",200,270,70,35.0,230,270,570,18.19,37824.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,39-4000,Funeral Service Workers,430,470,40,9.3,240,320,600,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-4021,Funeral Attendants,170,190,20,11.8,100,140,260,18.68,38847.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,39-5000,Personal Appearance Workers,7180,11470,4290,59.7,4790,5040,14120,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-5011,Barbers,170,250,80,47.1,80,120,280,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",2790,4220,1430,51.3,1860,1950,5240,15.49,32227.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-5092,Manicurists and Pedicurists,3710,6180,2470,66.6,2510,2620,7600,15.00,31200.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-5094,Skincare Specialists,500,790,290,58.0,330,340,960,18.74,38975.00,Postsecondary non-degree award,None,None
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,39-6000,"Baggage Porters, Bellhops, and Concierges",440,570,130,29.5,260,390,780,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-6011,Baggage Porters and Bellhops,180,240,60,33.3,110,160,330,15.00,31200.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-6012,Concierges,250,330,80,32.0,150,220,450,15.60,32429.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,3,39-7000,Tour and Travel Guides,190,260,70,36.8,140,210,420,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Riverside-San Bernardino-Ontario MSA (Riverside and San Bernardino Counties),2020-2030,4,39-7010,Tour and Travel Guides,190,260,70,36.8,140,210,420,15.91,33080.00,High school diploma or equivalent,None,Moderate-term on-the-job training
